6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2717990;1212370;1770;GL_656;Quelle Dejen;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717685;1211560;1595;GL_653;Quelle Loch;Kluft;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;;;
;2718125;1210917;1193;GL_237;Quelle Ober Herberig;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714200;1205740;1260;GL_652;Quelle Chäseren;Karst;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2715860;1205950;1820;GL_845;Bächi;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2724670;1203305;1410;GL_806;Alp Auen Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2725430;1199510;1960;GL_810;Quelle Chamm;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2725300;1199870;1745;GL_811;Quelle Ratzmatt;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2724780;1201955;1425;GL_807;Quelle Ennetseewen Aueren;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2715559;1192073;1860;GL_910;Quelle Burg;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2718560;1192870;1564;GL_904;Widderquelle;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;ja;ja;48;56;68
;2718700;1192300;1700;GL_905;Obstafelquelle;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;78;80;82
;2716158;1193356;1460;GL_911;Quelle Chäsboden;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2715546;1191890;1790;GL_909;Quelle Ober Stäfeli;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Brauchwasser;nein;ja;;;
;2716955;1193363;1255;GL_908;Quelle beim Stutz;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
